filename,video_id,gloss,match_type,confidence
00335.mp4,00335,abdomen,exact,1.0
00336.mp4,00336,abdomen,exact,1.0
00338.mp4,00338,abdomen,exact,1.0
00339.mp4,00339,abdomen,exact,1.0
00341.mp4,00341,abdomen,exact,1.0
00376.mp4,00376,able,exact,1.0
00377.mp4,00377,able,exact,1.0
00381.mp4,00381,able,exact,1.0
00382.mp4,00382,able,exact,1.0
00384.mp4,00384,able,exact,1.0
00414.mp4,00414,about,exact,1.0
00415.mp4,00415,about,exact,1.0
00416.mp4,00416,about,exact,1.0
00421.mp4,00421,about,exact,1.0
00426.mp4,00426,about,exact,1.0
00430.mp4,00430,above,exact,1.0
00431.mp4,00431,above,exact,1.0
00433.mp4,00433,above,exact,1.0
00435.mp4,00435,above,exact,1.0
00583.mp4,00583,accent,exact,1.0
00584.mp4,00584,accent,exact,1.0
00585.mp4,00585,accent,exact,1.0
00586.mp4,00586,accent,exact,1.0
00592.mp4,00592,accept,exact,1.0
00593.mp4,00593,accept,exact,1.0
00594.mp4,00594,accept,exact,1.0
00597.mp4,00597,accept,exact,1.0
00599.mp4,00599,accept,exact,1.0
00600.mp4,00600,accept,exact,1.0
00603.mp4,00603,accept,exact,1.0
00623.mp4,00623,accident,exact,1.0
00624.mp4,00624,accident,exact,1.0
00625.mp4,00625,accident,exact,1.0
00626.mp4,00626,accident,exact,1.0
00627.mp4,00627,accident,exact,1.0
00628.mp4,00628,accident,exact,1.0
00629.mp4,00629,accident,exact,1.0
00631.mp4,00631,accident,exact,1.0
00632.mp4,00632,accident,exact,1.0
00633.mp4,00633,accident,exact,1.0
00634.mp4,00634,accident,exact,1.0
00639.mp4,00639,accident,exact,1.0
00663.mp4,00663,accomplish,exact,1.0
00664.mp4,00664,accomplish,exact,1.0
00666.mp4,00666,accomplish,exact,1.0
00668.mp4,00668,accomplish,exact,1.0
00689.mp4,00689,accountant,exact,1.0
00690.mp4,00690,accountant,exact,1.0
00692.mp4,00692,accountant,exact,1.0
00694.mp4,00694,accountant,exact,1.0
00832.mp4,00832,across,exact,1.0
00834.mp4,00834,across,exact,1.0
00835.mp4,00835,across,exact,1.0
00836.mp4,00836,across,exact,1.0
00839.mp4,00839,across,exact,1.0
00842.mp4,00842,across,exact,1.0
00846.mp4,00846,act,exact,1.0
00847.mp4,00847,act,exact,1.0
00849.mp4,00849,act,exact,1.0
00851.mp4,00851,act,exact,1.0
00853.mp4,00853,action,exact,1.0
00854.mp4,00854,action,exact,1.0
00855.mp4,00855,action,exact,1.0
00856.mp4,00856,action,exact,1.0
00858.mp4,00858,action,exact,1.0
00868.mp4,00868,active,exact,1.0
00869.mp4,00869,active,exact,1.0
00871.mp4,00871,active,exact,1.0
00872.mp4,00872,active,exact,1.0
00874.mp4,00874,active,exact,1.0
00890.mp4,00890,activity,exact,1.0
00891.mp4,00891,activity,exact,1.0
00892.mp4,00892,activity,exact,1.0
00894.mp4,00894,activity,exact,1.0
00898.mp4,00898,actor,exact,1.0
00899.mp4,00899,actor,exact,1.0
00900.mp4,00900,actor,exact,1.0
00901.mp4,00901,actor,exact,1.0
00904.mp4,00904,actor,exact,1.0
00943.mp4,00943,adapt,exact,1.0
00944.mp4,00944,adapt,exact,1.0
00946.mp4,00946,adapt,exact,1.0
00947.mp4,00947,adapt,exact,1.0
00949.mp4,00949,adapt,exact,1.0
00951.mp4,00951,adapt,exact,1.0
